  1  1  1 17 17 26  2  2 19 30 29 30 23 29 13 16  5  4  3  0
  2  1  2 16 20 20 10  2 15  2 23 30 16 23  2 16  4  3  3  0
  3  1  1 24 21 15 30 21  3 15 18 18 27 21 24 15  4  3  3  0
  4  1  1 21 12 23  6 23 19  7 26 25 21 18  1 24  4  3  4 99
  5  1  1 24 15 18 30 24 24  3 18  6  6 27  0  9  5  3  4  0
  6  1  1 18  6 24  9 27 15  0 30 24 21 30  1 19  4  3  2  0
  7  4  1 20 16 16 21 14 20 20 21 19 20 22 14 17  4  4  2  0
  8 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99
  9  1  1 23  5 23  0 20 20  4  8 14 15 20 26 18  4  3  2  0
 10  1  2  8 20 23  5  2 16 13 22 20 26 26 21 16  5  3  4  0
 11  2  2 24 20 24 25 17  8  0  7  3 26 25 15 13  4  3  2  0
 12  5  1 24 22 18 15  0 21 12 15  6 28 28  0 19  4  3  4  0
 13  1  1 23 16 23 20  0 26  0 19 22 28 28  0 27  4  2  4  0
 14  1  1 16  2  6 19  9 14  3 23 23 23 18  4 22  5  3  2  0
 15  1  1 21 21 21 30 15 21  0 24 12 19 19  0 21  4  3  2  1
 16  1  1 23 17 23  5  7 17 18 16 13 15 17  1 15  4  3  3  0
 17  1  1  3  9 24 24 12 15  6 27 24 30 15  0 30  4  3  2  0
 18  2  1 25 27 21  0  3 22 28 28 18 27 12  4 21  4  2  1  0
 19 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99
 20  1  2 24 15  0 21  6 18  5 18  3 21  0  9 15  4  2  2  0
 21  3  1 24 21 27 21 15 18 18 24 12 27 24 19 15  5  3  4  0
 22  1  1 18 24 24 30  0 15  0 30  9 30  6  0 21  3  3  5  0
 23 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99
 24 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99
 25  5  4 22 23 26  2  2 20 15 23 23 17 20 26 23  5  4  5  0
 26  1  1 25 20 15 29 19  5  1 23  5 14 14  2 15  5  3  3  0
 27 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99
 28  1  1 20 15 10 30 26 24  7 29 21 23 22  9 23  4  3  2 99
 29  5  5  4 20 21  6 15 14  2 20 19 20 22  1 18  5  3  4  1
 30  1  1  9 22 22 16 12 19 19 25 21 25 19 10 15  3  2  3  0
 31 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99
 32 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99
 33 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99
 34 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99
 35 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99
 36  1  1 25 22 18  6  6 15 15 24 21 27 21  0 21  4  2  4  0
 37  1  1 12 24  9 18  2 12  0 30  2 15 15  3 15  4  3  2  1
 38 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99

